Juventus FC, 41507, -, 57, 690.90, 16, 1
FC Internazionale Milano, 75923, -, 30, 607.30, 16, 1
Napoli, 54726, -, 10, 587.50, 17, 1
AC Milan, 75923, -, 30, 491.80, 13, 1
Atalanta BC, 22512, -, 1, 375, 14, 1
SS Lazio, 73261, -, 14, 357.30, 11, 1
AS Roma, 73261, -, 14, 356.45, 9, 1
US Sassuolo, 21584, -, 0, 216.25, 11, 0
ACF Fiorentina, 47282, -, 9, 188.90, 10, 0
Cagliari Calcio, 16416, -, 1, 186.35, 9, 0
Udinese Calcio, 25144, -, 0, 149.70, 5, 0
Bologna FC, 36462, -, 9, 143.80, 10, 0
Torino FC, 27994, -, 12, 141.60, 10, 0
Hellas Verona, 39211, -, 1, 135.38, 5, 0
Parma Calcio 1913, 22352, -, 4, 113.35, 6, 0
UC Sampdoria, 36348, -, 6, 103.30, 8, 0
Genoa, 36599, -, 10, 101.75, 7, 0
Spezia Calcio, 10336, -, 0, 56.95, 1, 0
Benevento Calcio, 16867, -, 0, 45.43, 4, 0
FC Crotone, 16640, -, 0, 39.90, 1, 0