Juventus FC, -, 7, 57, 690.90, 16, 1
FC Internazionale Milano, -, 7, 30, 607.30, 16, 1
SSC Napoli, -, 1, 10, 587.50, 17, 1
AC Milan, -, 13, 30, 491.80, 13, 1
Atalanta BC, -, 0, 1, 375, 14, 1
SS Lazio, -, 1, 14, 357.30, 11, 1
AS Roma, -, 0, 14, 356.45, 9, 1
US Sassuolo, -, 0, 0, 216.25, 11, 0
ACF Fiorentina, -, 0, 9, 188.90, 10, 0
Cagliari Calcio, -, 0, 1, 186.35, 9, 0
Udinese Calcio, -, 0, 0, 149.70, 5, 0
Bologna FC, -, 0, 9, 143.80, 10, 0
Torino FC, -, 0, 12, 141.60, 10, 0
Hellas Verona, -, 0, 1, 135.38, 5, 0
Parma Calcio 1913, -, 3, 4, 113.35, 6, 0
UC Sampdoria, -, 0, 6, 103.30, 8, 0
Genoa, -, 0, 10, 101.75, 7, 0
Spezia Calcio, -, 0, 0, 56.95, 1, 0
Benevento Calcio, -, 0, 0, 45.43, 4, 0
FC Crotone, -, 0, 0, 39.90, 1, 0